strategy,tf,min_atr,n_trades,win_rate_pct,avg_ret_pct,sum_ret_pct,pnl_krw,symbols_active
f_zone,daily,0.0,85,52.9,3.1384,266.8,7938634.0,41
f_zone,daily,0.01,85,52.9,3.1384,266.8,7938634.0,41
f_zone,daily,0.035,73,56.2,3.5681,260.5,7753446.0,40
f_zone,5m,0.0,320,41.9,0.1567,50.1,1481294.0,45
f_zone,5m,0.01,308,41.2,0.0994,30.6,900802.0,45
f_zone,5m,0.035,11,54.5,1.5181,16.7,491811.0,8
f_zone,1m,0.0,514,35.2,-0.2291,-117.8,-3439181.0,49
f_zone,1m,0.01,289,33.9,-0.3052,-88.2,-2470411.0,43
f_zone,1m,0.035,1,100.0,2.059,2.1,61587.0,1
sf_zone,daily,0.0,29,75.9,2.9808,86.4,2613921.0,20
sf_zone,daily,0.01,29,75.9,2.9808,86.4,2613921.0,20
sf_zone,daily,0.035,28,78.6,3.3399,93.5,2820144.0,19
sf_zone,5m,0.0,41,53.7,0.4146,17.0,507360.0,26
sf_zone,5m,0.01,40,52.5,0.3886,15.5,463637.0,26
sf_zone,5m,0.035,3,100.0,11.179,33.5,997945.0,3
sf_zone,1m,0.0,65,50.8,-0.371,-24.1,-723927.0,29
sf_zone,1m,0.01,53,50.9,-0.4344,-23.0,-690038.0,25
sf_zone,1m,0.035,1,100.0,1.595,1.6,47717.0,1
gold_zone,daily,0.0,921,47.2,1.9747,1818.7,54426319.0,52
gold_zone,daily,0.01,921,47.2,1.9747,1818.7,54426319.0,52
gold_zone,daily,0.035,653,49.2,2.5557,1668.9,49989882.0,51
gold_zone,5m,0.0,4654,42.7,0.3499,1628.3,47321839.0,52
gold_zone,5m,0.01,2444,40.8,0.1701,415.7,12578277.0,52
gold_zone,5m,0.035,68,50.0,1.2789,87.0,2598285.0,19
gold_zone,1m,0.0,2936,36.5,-0.1376,-404.0,-12814567.0,52
gold_zone,1m,0.01,683,35.7,-0.3049,-208.2,-6141074.0,44
gold_zone,1m,0.035,2,50.0,1.0635,2.1,63702.0,2
