strategy,tf,min_atr,trades,gross_avg_pct,ct_avg_pct,cts_avg_pct,ct_win_pct,ct_pnl_krw
f_zone,daily,0.0,84,3.1384,2.9799,2.8873,50.0,7452229.0
f_zone,daily,0.01,84,3.1384,2.9799,2.8873,50.0,7452229.0
f_zone,daily,0.035,72,3.5681,3.4244,3.336,52.8,7340652.0
f_zone,5m,0.0,313,0.1567,-0.0378,-0.1168,39.6,-356083.0
f_zone,5m,0.01,301,0.0994,-0.0957,-0.1743,38.9,-860875.0
f_zone,5m,0.035,11,1.5181,1.3051,1.2261,54.5,421998.0
f_zone,1m,0.0,482,-0.2291,-0.4531,-0.5518,31.3,-6376338.0
f_zone,1m,0.01,270,-0.3052,-0.53,-0.619,30.4,-4074227.0
f_zone,1m,0.035,1,2.059,1.845,1.76,100.0,55184.0
sf_zone,daily,0.0,28,2.9808,3.3679,3.2724,71.4,2850157.0
sf_zone,daily,0.01,28,2.9808,3.3679,3.2724,71.4,2850157.0
sf_zone,daily,0.035,27,3.3399,3.7619,3.6645,74.1,3062101.0
sf_zone,5m,0.0,40,0.4146,0.0156,-0.0369,47.5,20617.0
sf_zone,5m,0.01,39,0.3886,-0.0159,-0.0785,46.2,-16721.0
sf_zone,5m,0.035,3,11.179,10.947,10.8363,100.0,977413.0
sf_zone,1m,0.0,58,-0.371,-0.5444,-0.5629,44.8,-948533.0
sf_zone,1m,0.01,47,-0.4344,-0.5769,-0.6479,44.7,-814344.0
sf_zone,1m,0.035,1,1.595,1.382,1.281,100.0,41341.0
gold_zone,daily,0.0,890,1.9747,1.7586,1.6795,44.8,46892918.0
gold_zone,daily,0.01,890,1.9747,1.7586,1.6795,44.8,46892918.0
gold_zone,daily,0.035,628,2.5557,2.3411,2.2702,47.3,44073614.0
gold_zone,5m,0.0,4549,0.3499,0.1377,0.0347,39.0,17977161.0
gold_zone,5m,0.01,2407,0.1701,-0.049,-0.1509,36.9,-3245952.0
gold_zone,5m,0.035,68,1.2789,1.0664,0.9735,48.5,2166201.0
gold_zone,1m,0.0,2858,-0.1376,-0.3554,-0.4446,32.3,-30687703.0
gold_zone,1m,0.01,656,-0.3049,-0.5283,-0.6174,30.6,-10243316.0
gold_zone,1m,0.035,2,1.0635,0.8515,0.7755,50.0,50988.0
